Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleTestSuite,Chrome 67.0.3396.99,,2018-07-14 18:41:50,2018-07-14 18:42:41,51.137s,FAILED
,,,,,,
Test Cases/Login Attempt,Chrome 67.0.3396.99,,2018-07-14 18:41:50,2018-07-14 18:42:19,28.420s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-14 18:41:52,2018-07-14 18:42:00,8.169s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-14 18:42:00,2018-07-14 18:42:13,13.675s,PASSED
click,Chrome 67.0.3396.99,,2018-07-14 18:42:13,2018-07-14 18:42:14,0.378s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-14 18:42:14,2018-07-14 18:42:17,3.030s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-14 18:42:17,2018-07-14 18:42:18,1.118s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-14 18:42:18,2018-07-14 18:42:19,0.932s,FAILED
,,,,,,
Test Cases/Sample,Chrome 67.0.3396.99,,2018-07-14 18:42:19,2018-07-14 18:42:40,20.792s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-14 18:42:19,2018-07-14 18:42:27,7.345s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-14 18:42:27,2018-07-14 18:42:39,12.351s,PASSED
click,Chrome 67.0.3396.99,,2018-07-14 18:42:39,2018-07-14 18:42:39,0.146s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-14 18:42:39,2018-07-14 18:42:39,0.061s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-14 18:42:39,2018-07-14 18:42:39,0.097s,PASSED
click,Chrome 67.0.3396.99,,2018-07-14 18:42:39,2018-07-14 18:42:40,0.405s,FAILED
